Common,POS_specific,NEG_specific
B2RXF0,A0A499FIX8,A0A024RAC6
O00139-2,B4DLN1,A0A087WXA3
O00411,E9PRG8,A9Z1X7
O00422,J3KRS1,O14757
O00425,O00178,O43172
O00505,O00203,O43290
O00629,O00410,O43395
O14579,O14617,O43447
O14646,O14733,O60306
O14654,O14925,O60716
O14776,O14980,O60832
O15344,O15226,O75147
O15371,O15228,O75330
O43414,O15269,O75449
O43663-3,O43175,O75689
O43809,O43592,O75934
O43824,O43837,O94761
O60783,O60506-3,O94813
O60884,O60762,O95067
O75165,O60942,O95104
O75400,O75190,O95248
O75607,O75616,O95400
O75643,O75746,O95777
O75909-4,O75818,O95819
O76021,O94905,P04637
O76031,O95059,P05198
O94906,O95391,P06493
O94973,O95573,P0DMU9
O95232,O95757,P18583
O95271,O95793,P19447
O95347,O95801,P20042
O95470,O95816,P21912
O95639,O95831,P24941
O95707,P00367,P26368
O95782,P04843,P27448
P02452,P05023,P28482
P05455,P06576,P29372
P08621,P08123,P32780
P09012,P08240,P33176
P09874,P08865,P34897
P11387,P09001,P34947
P14635,P09543,P35659
P17987,P09622,P41223
P19784,P10155,P41227
P21127-2,P10398,P42285
P26358,P10412,P43250-2
P28340,P10589,P48426
P30414,P11802,P49407
P31689,P16615,P49757
P32121,P16989,P49759
P34932,P17480,P49760
P35249,P17980,P51959
P35250,P22392-2,P56182
P35251,P22695,P62068
P37108,P25398,P62310
P38919,P25705,P62891
P40937,P25788,P83876
P40938,P27348,P85037
P41091,P30837,Q00403
P43246,P30876,Q00535
P46940,P31946-2,Q01081
P48047,P35606,Q01167
P48729-3,P36542,Q01968
P49406,P38646,Q10570
P49458,P40227,Q12834
P49674,P40616,Q12872
P49756,P41250,Q13492
P49761,P42568,Q13613
P49841,P42695,Q13769
P49916,P42704,Q14142
P50750,P48634,Q14498
P50991,P49368,Q14669
P51398,P49721,Q14966
P52292,P50402,Q15007
P53350,P51570,Q15131
P53621,P51571,Q16342
P53680,P52294,Q16630
P57678,P52701,Q2NKX8
P57772,P53007,Q2TAY7
P61289,P53618,Q2VPK5
P61326,P53985,Q4KMP7
P62266,P55060,Q53H96
P62304,P56134,Q5HYJ3
P62857,P56192,Q5JY65
P63010,P57088,Q5T200
P63220,P61254,Q5T8P6
P67870,P61619,Q5VTL8
P68400,P61981,Q5VYS8
P78345,P62136,Q6DN03
P78346,P62258,Q6P087
P78356,P62333,Q6P6C2
P78362-2,P62750,Q7L014
P82650,P62826,Q7L3S4
P82663,P62841,Q7Z6E9
P82675,P62995,Q86X55
P82930,P63104,Q8IVS2
P82933,P63151,Q8IX12
P84022,P63244,Q8IY18
P84103-2,P67809,Q8N1G2
Q02040,P68431,Q8N3E9
Q05519,P69905,Q8N684
Q07021,P78527,Q8NAV1
Q07955,P82673,Q8NC96
Q08945,P82914,Q8NCB2
Q08J23,P84098,Q8NHQ9
Q12789,Q00325-2,Q8TAA9
Q13123,Q00577,Q8TBX8
Q13151,Q02978,Q8TED0
Q13206,Q04837,Q8TF01
Q13243,Q04917,Q8WUA2
Q13247,Q07065,Q8WUQ7
Q13263,Q08170,Q8WXA9-2
Q13427,Q12906,Q92547
Q13523,Q13084,Q92576
Q13573,Q13347,Q92630
Q13838,Q13547,Q92759
Q13895,Q13610,Q92900
Q14137,Q13724,Q92979
Q14680,Q14103,Q96DI7
Q14739,Q14257,Q96EZ8
Q15029,Q14592,Q96FV9
Q15287,Q14683,Q96G61
Q15369,Q15020,Q96GC5
Q15370,Q15286,Q96GJ1
Q16531,Q15645,Q96LT9
Q22222,Q15758,Q96P16
Q2NL82,Q16629,Q96P47
Q53GS9,Q16740,Q96S94
Q5JTH9,Q3KP31,Q96T37
Q5STV6,Q3ZCQ8,Q99496
Q5SW79,Q4G0J3,Q99551
Q6DD87,Q53GQ0,Q99590
Q6IPR3,Q58EX7,Q99661
Q6NYC1,Q5C9Z4,Q99755
Q6P158,Q5H909,Q99832
Q6P2Q9,Q5JR04,Q9BU76
Q6PI48,Q5JTW2,Q9BUQ8
Q6UN15,Q5T3Q7,Q9BVA0
Q6UX04,Q5TDF0,Q9BW19
Q6ZW49,Q5VXN0,Q9BWC9
Q7Z2T5,Q6P3X3,Q9BXS6
Q7Z2W4,Q7L2E3,Q9BYW2
Q86U06,Q7L8L6,Q9C0J8
Q86U42,Q86TB9,Q9GZT9
Q86VM9,Q86U38,Q9H078
Q86W42,Q8IWZ3,Q9H0G5
Q8IWS0,Q8IXB1,Q9H2W6
Q8IX18,Q8IZ69,Q9H4H8
Q8IY81,Q8N1F7,Q9H7N4
Q8N1G4,Q8N3J9,Q9H8G2
Q8NE71,Q8N983,Q9H8X2
Q8NI27,Q8NF37,Q9H9J4
Q8TAD8,Q8WUA4,Q9HAZ1
Q8TAF3,Q8WUM0,Q9HB71
Q8TBZ3,Q8WUY1,Q9HCS7
Q8WVD3,Q8WVX9,Q9HDC5
Q8WVM0,Q8WWC4,Q9NRW3
Q8WVS4,Q92552,Q9NS86
Q8WVV9,Q92598,Q9NVP1
Q8WXX5,Q92616,Q9NVR7
Q92620,Q92621,Q9NWH9
Q92665,Q92947,Q9NX24
Q92804,Q96A33,Q9NYH9
Q92974,Q96A65,Q9NYV4
Q93008,Q96AB3,Q9UBB9
Q93009,Q96B23-2,Q9UBC2
Q96CW1,Q96DV4,Q9UER7
Q96EL2,Q96EY1,Q9UJV9
Q96EX3,Q96GA3,Q9UK58
Q96EY4,Q96GQ7,Q9UKT4
Q96EY7,Q96HS1,Q9Y314
Q96FJ2,Q96P63,Q9Y333
Q96GM8,Q99457,Q9Y3A4
Q96N46,Q99623,Q9Y5Q9
Q96P11,Q99729,Q9Y5X2
Q96SB4,Q9BQ70,Q9Y606
Q99575,Q9BQ75,Q9Y6A4
Q99615,Q9BQG0,Q9Y6X9
Q9BQ39,Q9BRP8,
Q9BQ67,Q9BSJ2,
Q9BRP1,Q9BUF5,
Q9BRX2,Q9BUJ2,
Q9BTD8,Q9BVP2,
Q9BVJ6,Q9BW92,
Q9BXP5,Q9BWF3,
Q9BYN8,Q9BXS5,
Q9BZE4,Q9BYC9,
Q9BZI7,Q9BZX2,
Q9C0C9,Q9GZR7,
Q9H0S4,Q9H0A0,
Q9H0U9,Q9H1A4,
Q9H2K2,Q9H2U1,
Q9H307,Q9H5Q4,
Q9H8V3,Q9H6S0,
Q9H9J2,Q9H7E9,
Q9HAU5,Q9H814,
Q9HCG8,Q9H936,
Q9HD33,Q9HAV4,
Q9NNW5,Q9NP92,
Q9NP81,Q9NQ50,
Q9NQ29,Q9NR30,
Q9NTJ3,Q9NRX1,
Q9NTW7,Q9NRX2,
Q9NWK9,Q9NSI2,
Q9NYK5,Q9NVI1,
Q9P015,Q9NVV4,
Q9P2I0,Q9NW64,
Q9UEG4,Q9NX20,
Q9UG63,Q9NX58,
Q9UHB7,Q9NY12,
Q9UHI6,Q9NZ01,
Q9UHR5,Q9NZL4,
Q9UII4,Q9P035,
Q9UKF6,Q9UBB4,
Q9UKJ3,Q9UBS4,
Q9UKV3-5,Q9UG56,
Q9ULW3,Q9UJS0,
Q9UNQ2,Q9UJX2,
Q9UQ35,Q9UJX4,
Q9Y2Q9,Q9UJX5,
Q9Y2R5,Q9UKN8,
Q9Y2R9,Q9UKT7,
Q9Y2S7,Q9UM00,
Q9Y383,Q9UNE7,
Q9Y399,Q9UPT9,
Q9Y3C1,Q9UQE7,
Q9Y3C6,Q9Y265,
Q9Y3D3,Q9Y285,
Q9Y3D9,Q9Y2L1,
Q9Y4C2,Q9Y2P8,
Q9Y4P3,Q9Y2R4,
Q9Y5P8,Q9Y2X3,
Q9Y5S9,Q9Y2X9,
Q9Y6H1,Q9Y3B7,
Q9Y6M4-3,Q9Y3D5,
Q9Y6V7,Q9Y3Y2,
,Q9Y3Z3,
,Q9Y4R8,
,Q9Y5A9,
,Q9Y5B9,
,Q9Y5M8,
,Q9Y5V3,
,Q9Y676,
